               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11786,            0.032655,              0.0503,          0.00031391,            0.060775,          0.00021007,          5.2711e-05,             0.11291,            0.028178,            0.048411,              0.0955,              0.0005,              0.0005
                   1,             0.11141,            0.028587,            0.048125,          0.00025679,             0.04627,          0.00015236,          4.3812e-05,             0.10505,            0.024622,            0.046466,            0.090096,           0.0010964,           0.0010964
                   2,             0.10299,            0.025564,            0.044175,          0.00045481,            0.087557,          0.00036395,          8.7045e-05,            0.099089,            0.023281,            0.044175,            0.084689,           0.0016888,           0.0016888
                   3,             0.09514,            0.026771,            0.039903,           0.0007601,             0.18203,          0.00091341,          0.00024824,            0.094656,            0.023139,            0.042234,            0.079277,           0.0022772,           0.0022772
                   4,             0.08972,            0.027949,            0.036998,           0.0019803,             0.28222,           0.0073065,           0.0020742,            0.087332,            0.024055,            0.041045,            0.073862,           0.0028617,           0.0028617
                   5,            0.082598,            0.027689,            0.033199,           0.0039831,             0.37135,            0.040574,            0.010667,            0.085877,            0.023269,            0.040192,            0.068442,           0.0034422,           0.0034422
                   6,            0.077286,            0.029076,            0.030072,             0.85846,            0.043478,            0.045763,            0.013728,            0.083294,            0.023314,             0.03987,            0.063019,           0.0040188,           0.0040188
                   7,            0.075854,            0.026858,            0.028907,             0.88916,            0.076522,            0.073635,             0.02563,            0.075764,            0.023472,            0.039541,            0.057591,           0.0045914,           0.0045914
                   8,             0.07438,             0.02548,            0.026475,             0.86371,            0.064348,            0.050368,             0.01606,            0.080588,            0.021618,            0.038364,             0.05216,           0.0051601,           0.0051601
                   9,            0.072607,            0.025132,            0.023841,             0.70483,            0.099878,            0.044551,            0.013597,            0.081678,            0.020035,            0.038932,            0.046725,           0.0057248,           0.0057248
                  10,            0.071882,            0.023221,            0.023189,             0.67972,            0.085534,            0.053003,            0.015475,            0.081788,             0.01858,             0.04005,            0.041285,           0.0062855,           0.0062855
